rank,id,sideMode,trainScore,robustnessPass,trainTotalReturnPct,trainMaxDrawdownPct,trainSharpe,trainProfitFactor,trainTrades,testTotalReturnPct,testMaxDrawdownPct,testSharpe,testProfitFactor,testTrades,fullTotalReturnPct,fullMaxDrawdownPct,fullSharpe,fullProfitFactor,fullTrades,fullColdTrades,fullColdTotalReturnPct,fullWarmTrades,fullWarmTotalReturnPct,coldMaxWeightedAnomalyF,coldMinCoveragePct,coldMinExtremeCount,warmMinWeightedAnomalyF,warmMinCoveragePct,warmMinExtremeCount
53,combined-coldA-8-coldC0p85-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-8,0.85,0,10,0.6,0
54,combined-coldA-8-coldC0p85-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,7.27,-20.75,0.58,1.41,9,-6.23,-35.34,0.01,1,18,2,-1.01,16,-5.28,-8,0.85,4,10,0.6,0
55,combined-coldA-8-coldC0p85-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,0.85,8,10,0.6,0
56,combined-coldA-8-coldC0p85-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,0.85,12,10,0.6,0
57,combined-coldA-8-coldC1-coldE0-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,1,0,10,0.6,0
58,combined-coldA-8-coldC1-coldE4-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,1,4,10,0.6,0
59,combined-coldA-8-coldC1-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,1,8,10,0.6,0
60,combined-coldA-8-coldC1-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,8.9,-7.46,0.9,1.86,8,-4.81,-21.76,-0.04,0.96,17,0,0,17,-4.81,-8,1,12,10,0.6,0
61,combined-coldA-10-coldC0p55-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,0.55,8,10,0.6,0
62,combined-coldA-10-coldC0p55-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-10,0.55,12,10,0.6,0
