candidateId,eligible,trainRank,volatilityLookbackSessions,reversalZThreshold,minVolatilityPct,maxVolatilityPct,trainTrades,trainReturnPct,trainSharpe,trainSortino,trainMaxDrawdownPct,trainProfitFactor,profitableTrainYears,trainYearCount,holdoutTrades,holdoutReturnPct,holdoutSharpe,holdoutSortino,holdoutMaxDrawdownPct,holdoutProfitFactor,allTrades,allReturnPct,allSharpe,allSortino,allMaxDrawdownPct
lb60-z1-vol2.5-5,false,100.231,60,1,2.5,5,289,23.62,0.38,0.62,-6.38,1.26,10,15,28,4.95,1.91,3.23,-2.08,1.68,317,29.74,0.43,0.7,-6.38
lb40-z0.35-vol0-5,false,100.1628,40,0.35,0,5,1123,23.66,0.24,0.35,-21.2,1.08,11,18,46,7.14,2.87,4.34,-2.41,1.71,1169,32.48,0.29,0.44,-21.2
lb40-z0.35-vol1-5,false,100.1628,40,0.35,1,5,1123,23.66,0.24,0.35,-21.2,1.08,11,18,46,7.14,2.87,4.34,-2.41,1.71,1169,32.48,0.29,0.44,-21.2
lb60-z0.35-vol3-6,false,100.1525,60,0.35,3,6,671,28.2,0.31,0.49,-14.54,1.13,10,16,36,8.48,2.3,3.56,-4.43,1.77,707,39.07,0.37,0.59,-14.54
lb60-z0.35-vol3-8,false,100.1525,60,0.35,3,8,671,28.2,0.31,0.49,-14.54,1.13,10,16,48,11.83,2.94,4.65,-4.43,1.91,719,43.36,0.4,0.64,-14.54
lb60-z0.35-vol3-99,false,100.1525,60,0.35,3,99,671,28.2,0.31,0.49,-14.54,1.13,10,16,48,11.83,2.94,4.65,-4.43,1.91,719,43.36,0.4,0.64,-14.54
lb30-z0.5-vol1.5-5,false,100.1414,30,0.5,1.5,5,944,24.41,0.26,0.39,-14.97,1.1,10,18,42,4.85,1.5,2.26,-2.08,1.5,986,30.44,0.29,0.44,-14.97
lb40-z0.5-vol1.5-8,false,100.0502,40,0.5,1.5,8,1045,22.21,0.23,0.35,-19.29,1.08,12,18,58,9.65,2.07,3.16,-4.43,1.62,1103,34,0.3,0.46,-19.29
lb40-z0.5-vol1.5-99,false,100.0502,40,0.5,1.5,99,1045,22.21,0.23,0.35,-19.29,1.08,12,18,58,9.65,2.07,3.16,-4.43,1.62,1103,34,0.3,0.46,-19.29
lb20-z1-vol2.5-4,false,100.032,20,1,2.5,4,222,21.61,0.38,0.55,-6.73,1.35,13,17,23,1.39,0.6,1.23,-1.55,1.26,245,23.3,0.38,0.56,-6.73
lb40-z1-vol3-5,false,100.0218,40,1,3,5,211,21.93,0.4,0.66,-9.6,1.34,11,16,13,2.37,2.05,2.29,-2.08,1.8,224,24.82,0.42,0.68,-9.6
