scenario,date,split,componentVariant,weatherResolutionAction,weatherResolutionScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct
current replay from positions,2024-08-14,validation,summer-alpha,,1,0,1,3.3054,0.2627,0.2627,0,0.2627
current replay from positions,2024-08-15,validation,summer-alpha,,1,0,1,-0.9914,1.8795,1.8795,0,1.8795
current replay from positions,2024-08-16,validation,summer-alpha,,1,0,1,-3.3682,0.1919,0.1919,0,0.1919
current replay from positions,2024-08-19,validation,summer-alpha,,1,0.35,0.65,5.2756,1.0324,2.5175,0.0112,2.5063
current replay from positions,2024-08-20,validation,summer-alpha,,1,0.35,0.65,-1.6555,-0.1756,-0.6936,0,-0.6936
current replay from positions,2024-08-21,validation,summer-alpha,,1,0.35,0.65,-0.9554,0.3776,-0.0889,0,-0.0889
current replay from positions,2024-08-22,validation,summer-alpha,none,1,-0.4,0.6,-5.6959,-0.9666,1.6984,0.024,1.6744
current replay from positions,2024-08-23,validation,summer-alpha,,1,0,1,-1.51,1.0804,1.0804,0.0128,1.0676
current replay from positions,2024-08-26,validation,summer-alpha,,1,0,1,-3.2641,-0.389,-0.389,0,-0.389
current replay from positions,2024-08-27,validation,summer-alpha,,1,0,1,-2.6585,0.1695,0.1695,0,0.1695
current replay from positions,2024-08-28,validation,summer-alpha,,1,0,1,1.3655,-0.6825,-0.6825,0,-0.6825
current replay from positions,2024-08-29,validation,summer-alpha,,1,0,1,10.7254,-0.0205,-0.0205,0,-0.0205
current replay from positions,2024-08-30,validation,summer-alpha,,1,0,1,-0.4679,0.9976,0.9976,0,0.9976
current replay from positions,2024-09-03,validation,summer-alpha,,1,0,1,3.5731,-2.2304,-2.2304,0,-2.2304
current replay from positions,2024-09-04,validation,summer-alpha,,1,0,1,-2.6328,-0.2544,-0.2544,0,-0.2544
current replay from positions,2024-09-05,validation,summer-alpha,,1,0.35,0.65,5.0816,-0.1732,1.666,0.0112,1.6548
current replay from positions,2024-09-06,validation,summer-alpha,,1,0.35,0.65,0.9317,-1.8675,-0.8878,0,-0.8878
current replay from positions,2024-09-09,validation,summer-alpha,,1,0.35,0.65,-4.6154,1.1538,-0.8654,0,-0.8654
current replay from positions,2024-09-10,validation,summer-alpha,,1,0,1,2.8571,0.5104,0.5104,0.0112,0.4992
current replay from positions,2024-09-11,validation,summer-alpha,,1,0,1,1.7025,1.2499,1.2499,0,1.2499
current replay from positions,2024-09-12,validation,summer-alpha,,1,0,1,3.8326,0.8922,0.8922,0,0.8922
current replay from positions,2024-09-13,validation,summer-alpha,none,1,-0.4,0.6,-2.2062,0.5133,1.1905,0.0128,1.1777
current replay from positions,2024-09-16,validation,summer-alpha,,1,0,1,2.9501,0.0349,0.0349,0.0128,0.0221
current replay from positions,2024-09-17,validation,summer-alpha,none,1,-0.4,0.6,-2.0649,0.0484,0.855,0.0128,0.8422
current replay from positions,2024-09-18,validation,summer-alpha,,1,0,1,-1.7212,-0.349,-0.349,0.0128,-0.3618
current replay from positions,2024-09-19,validation,summer-alpha,,1,0,1,2.8021,1.9017,1.9017,0,1.9017
current replay from positions,2024-09-20,validation,summer-alpha,,1,0,1,3.6627,-0.1922,-0.1922,0,-0.1922
current replay from positions,2024-09-23,validation,summer-alpha,,1,0.35,0.65,7.3541,0.2484,2.7354,0.0112,2.7242
current replay from positions,2024-09-24,validation,summer-alpha,,1,0.35,0.65,-2.3727,0.3246,-0.6195,0,-0.6195
current replay from positions,2024-09-25,validation,summer-alpha,,1,0.35,0.65,3.3712,-0.1385,1.0899,0,1.0899
current replay from positions,2024-09-26,validation,summer-alpha,none,1,-0.4,0.6,-1.9719,0.4641,1.0672,0.024,1.0432
current replay from positions,2024-09-27,validation,summer-alpha,,1,0,1,12.2631,-0.2148,-0.2148,0.0128,-0.2276
current replay from positions,2024-09-30,validation,summer-alpha,,1,0,1,0.7236,0.4016,0.4016,0,0.4016
current replay from positions,2024-10-01,validation,summer-alpha,,1,0,1,-0.9237,-1.0253,-1.0253,0,-1.0253
current replay from positions,2024-10-02,validation,summer-alpha,,1,0,1,-0.3453,0.0441,0.0441,0,0.0441
current replay from positions,2024-10-03,validation,summer-alpha,,1,0,1,2.9106,-0.1676,-0.1676,0,-0.1676
current replay from positions,2024-10-04,validation,summer-alpha,,1,0,1,-3.9057,0.9755,0.9755,0,0.9755
current replay from positions,2024-10-07,validation,summer-alpha,,1,0,1,-3.7842,-0.9344,-0.9344,0,-0.9344
current replay from positions,2024-10-08,validation,summer-alpha,,1,0,1,-0.4734,1.0566,1.0566,0,1.0566
current replay from positions,2024-10-09,validation,summer-alpha,,1,0,1,-2.6711,0.7046,0.7046,0,0.7046
current replay from positions,2024-10-10,validation,summer-alpha,,1,0,1,0.5639,-0.1539,-0.1539,0,-0.1539
current replay from positions,2024-10-11,validation,summer-alpha,,1,0,1,-1.6075,0.5015,0.5015,0,0.5015
current replay from positions,2024-10-14,validation,summer-alpha,,1,0,1,-5.2432,0.8242,0.8242,0,0.8242
current replay from positions,2024-10-15,validation,summer-alpha,,1,0,1,0.1604,-0.8759,-0.8759,0,-0.8759
current replay from positions,2024-10-16,validation,summer-alpha,,1,0,1,-5.2442,0.3362,0.3362,0,0.3362
current replay from positions,2024-10-17,validation,summer-alpha,,1,0,1,-0.845,0.0298,0.0298,0,0.0298
current replay from positions,2024-10-18,validation,summer-alpha,,1,0,1,-3.7921,0.4384,0.4384,0,0.4384
current replay from positions,2024-10-21,validation,summer-alpha,,1,0,1,2.3915,-0.0872,-0.0872,0,-0.0872
current replay from positions,2024-10-22,validation,summer-alpha,,1,0,1,-0.0432,-0.0336,-0.0336,0,-0.0336
current replay from positions,2024-10-23,validation,summer-alpha,,1,0,1,1.3414,-1.0324,-1.0324,0,-1.0324
current replay from positions,2024-10-24,validation,summer-alpha,,1,0,1,7.6857,0.3399,0.3399,0,0.3399
current replay from positions,2024-10-25,validation,summer-alpha,,1,0,1,1.5067,0.0899,0.0899,0,0.0899
current replay from positions,2024-10-28,validation,summer-alpha,,1,0,1,-9.8047,0.2554,0.2554,0,0.2554
current replay from positions,2024-10-29,validation,summer-alpha,,1,0,1,1.6024,0.3137,0.3137,0,0.3137
current replay from positions,2024-10-30,validation,summer-alpha,,1,0,1,21.2703,-0.3866,-0.3866,0,-0.3866
current replay from positions,2024-10-31,validation,summer-alpha,,1,0,1,-4.8506,-2.0811,-2.0811,0,-2.0811
current replay from positions,2024-11-01,validation,summer-alpha,,1,0,1,-1.6254,0.4951,0.4951,0,0.4951
current replay from positions,2024-11-04,validation,summer-alpha,,1,0,1,4.4311,-0.2316,-0.2316,0,-0.2316
current replay from positions,2024-11-05,validation,summer-alpha,,1,0,1,-3.9914,1.2182,1.2182,0,1.2182
current replay from positions,2024-11-06,validation,summer-alpha,,1,0,1,2.8839,2.5341,2.5341,0,2.5341
current replay from positions,2024-11-07,validation,winter-alpha,missing-kept,1,-0.5625,0.4375,-1.6317,0.9381,1.3283,0.018,1.3103
current replay from positions,2024-11-08,validation,winter-alpha,no-reversion,1,0,1,-1.0269,0.3791,0.3791,0.018,0.3611
current replay from positions,2024-11-11,validation,summer-alpha,,1,0,1,9.4043,0.0541,0.0541,0,0.0541
