scenario,date,split,componentVariant,sourceAction,optimizedLiveAction,optimizedLiveScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct,equity,equityPct
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-19,holdout,summer-alpha,,,1,0,1,4.0952,0.4073,0.4073,0,0.4073,727930.23,627.9302
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-20,holdout,summer-alpha,,,1,0,1,-1.6703,-1.6864,-1.6864,0,-1.6864,715654.41,615.6544
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-21,holdout,winter-alpha,missing-kept,missing-kept,1,-0.25,0.75,1.595,0.9462,0.3109,0.008,0.3029,717822.13,617.8221
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-24,holdout,winter-alpha,adverse-shrunk,adverse-dropped,0,-0.3437,0.6563,-1.6382,1.7017,1.6799,0.003,1.6769,729859.29,629.8593
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-25,holdout,winter-alpha,adverse-shrunk,adverse-shrunk,0.531,-0.4765,0.5235,-4.025,0.867,2.3718,0.0042,2.3675,747138.71,647.1387
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-26,holdout,winter-alpha,adverse-shrunk,adverse-shrunk,0.5608,0.1402,0.8598,3.0369,0.7325,1.0556,0.0197,1.0358,754877.57,654.8776
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-28,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,3.3684,0.5995,0.5995,0.0045,0.595,759369.09,659.3691
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-01,holdout,summer-alpha,,,1,0,1,1.4639,-0.4283,-0.4283,0,-0.4283,756116.72,656.1167
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-02,holdout,summer-alpha,,,1,0,1,-1.646,0.2898,0.2898,0,0.2898,758307.94,658.3079
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-03,holdout,summer-alpha,,,1,0,1,3.2025,0.328,0.328,0,0.328,760795.19,660.7952
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-04,holdout,summer-alpha,,,1,0,1,1.3614,0.048,0.048,0,0.048,761160.37,661.1604
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-05,holdout,summer-alpha,,,1,0,1,4.4638,0.2335,0.2335,0,0.2335,762937.68,662.9377
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-08,holdout,summer-alpha,,,1,0,1,-7.128,-0.2761,-0.2761,0,-0.2761,760831.21,660.8312
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-09,holdout,summer-alpha,,,1,0,1,-6.8811,-0.04,-0.04,0,-0.04,760526.88,660.5269
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-10,holdout,summer-alpha,,,1,0,1,0.4591,0.5979,0.5979,0,0.5979,765074.07,665.0741
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-11,holdout,summer-alpha,,,1,0,1,-7.9217,0.1311,0.1311,0,0.1311,766077.08,666.0771
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-12,holdout,winter-alpha,adverse-shrunk,adverse-shrunk,0.5767,0.1442,0.8558,-2.6758,-1.2502,-1.4558,0.0046,-1.4604,754889.29,654.8893
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-15,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,-2.121,-0.2119,-0.2119,0.0046,-0.2165,753254.96,653.255
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-16,holdout,summer-alpha,,,1,0,1,-3.1406,-0.1847,-0.1847,0,-0.1847,751863.69,651.8637
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-17,holdout,winter-alpha,adverse-shrunk,adverse-shrunk,0.7633,0.1908,0.8092,4.4628,-1.2493,-0.1594,0.0061,-0.1655,750619.36,650.6194
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-18,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,-4.826,0.8927,0.8927,0.0061,0.8866,757274.35,657.2744
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-19,holdout,winter-alpha,missing-kept,missing-kept,1,0.25,0.75,1.33,0.9802,1.0677,0.008,1.0597,765299.19,665.2992
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-22,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,-2.7892,0.5947,0.5947,0.008,0.5867,769789.2,669.7892
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-23,holdout,winter-alpha,adverse-shrunk,adverse-shrunk,0.6477,0.1619,0.8381,8.8608,0.4716,1.8298,0.0052,1.8246,783834.77,683.8348
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-24,holdout,winter-alpha,adverse-shrunk,adverse-shrunk,0.6114,-0.5435,0.4565,-3.9535,0.3207,2.2951,0.0226,2.2726,801648.2,701.6482
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-26,holdout,winter-alpha,standalone-adverse-dropped,standalone-adverse-shrunk,0.7034,-0.1758,0.8242,3.3898,0.0083,-0.5893,0.0118,-0.601,796830.3,696.8303
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-29,holdout,winter-alpha,no-reversion,no-reversion,1,0.2031,0.7969,1.8735,-0.378,0.0793,0.0121,0.0672,797365.77,697.3658
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-12-30,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,0.5364,-0.159,-0.159,0.0065,-0.1655,796046.13,696.0461
